
131020|  Buyers and Purchasing Agents
131030|  Claims Adjusters, Appraisers, Examiners, and Investigators
131032|  Insurance Appraisers, Auto Damage
131041|  Compliance Officers
131051|  Cost Estimators
131070|  Human Resources Workers
131081|  Logisticians
131111|  Management Analysts
131121|  Meeting, Convention, and Event Planners
131131|  Fundraisers
131141|  Compensation, Benefits, and Job Analysis Specialists
131151|  Training and Development Specialists
131161|  Market Research Analysts and Marketing Specialists
132000|  Financial Specialists
132011|  Accountants and Auditors
132021|  Appraisers and Assessors of Real Estate
132031|  Budget Analysts
132041|  Credit Analysts
132050|  Financial Analysts and Advisors
132051|  Financial Analysts
132052|  Personal Financial Advisors
132053|  Insurance Underwriters
132061|  Financial Examiners
132070|  Credit Counselors and Loan Officers
132071|  Credit Counselors
132072|  Loan Officers
132081|  Tax Examiners and Collectors, and Revenue Agents
132082|  Tax Preparers
151120|  Computer and Information Analysts
151121|  Computer Systems Analysts
151122|  Information Security Analysts
151131|  Computer Programmers
151132|  Software Developers, Applications
151133|  Software Developers, Systems Software
151134|  Web Developers
151141|  Database Administrators
151142|  Network and Computer Systems Administrators
151143|  Computer Network Architects
151150|  Computer Support Specialists
151151|  Computer User Support Specialists
151152|  Computer Network Support Specialists
152011|  Actuaries
152021|  Mathematicians
152031|  Operations Research Analysts
152041|  Statisticians
152091|  Mathematical Technicians
171000|  Architects, Surveyors, and Cartographers
171012|  Landscape Architects
171020|  Surveyors, Cartographers, and Photogrammetrists5
171021|  Cartographers and Photogrammetrists
171022|  Surveyors
172011|  Aerospace Engineers
172021|  Agricultural Engineers
172031|  Biomedical Engineers
172041|  Chemical Engineers
172051|  Civil Engineers
172061|  Computer Hardware Engineers
172071|  Electrical Engineers
172081|  Environmental Engineers
172112|  Industrial Engineers
172141|  Mechanical Engineers
172161|  Nuclear Engineers
172171|  Petroleum Engineers
173011|  Architectural and Civil Drafters
173031|  Surveying and Mapping Technicians
191000|  Life Scientists
191010|  Agricultural and Food Scientists
191011|  Animal Scientists
191012|  Food Scientists and Technologists
191013|  Soil and Plant Scientists
191020|  Biological Scientists
191021|  Biochemists and Biophysicists
191022|  Microbiologists
191023|  Zoologists and Wildlife Biologists
191031|  Conservation Scientists
191032|  Foresters
191040|  Medical Scientists
191041|  Epidemiologists
192000|  Physical Scientists
192011|  Astronomers
192012|  Physicists
192031|  Chemists
192032|  Materials Scientists
192040|  Environmental Scientists and Geoscientists
192043|  Hydrologists
193000|  Social Scientists and Related Workers
193011|  Economists
193022|  Survey Researchers
193030|  Psychologists
193031|  Clinical, Counseling, and School Psychologists
193041|  Sociologists
193051|  Urban and Regional Planners
193091|  Anthropologists and Archeologists
193092|  Geographers
193093|  Historians
193094|  Political Scientists
194000|  Life, Physical, and Social Science Technicians
194011|  Agricultural and Food Science Technicians
194021|  Biological Technicians
194031|  Chemical Technicians
194041|  Geological and Petroleum Technicians
194051|  Nuclear Technicians
194061|  Social Science Research Assistants
194091|  Environmental Science and Protection Technicians, Including Health
194092|  Forensic Science Technicians
194093|  Forest and Conservation Technicians
211010|  Counselors
211011|  Substance Abuse and Behavioral Disorder Counselors|
