STATE|STATEFP|PLACEFP|PLACENAME|TYPE|FUNCSTAT|COUNTY

AL|01|00124|Abbeville city|Incorporated Place|A|Henry County

AL|01|00460|Adamsville city|Incorporated Place|A|Jefferson County

AL|01|00484|Addison town|Incorporated Place|A|Winston County

AL|01|00676|Akron town|Incorporated Place|A|Hale County

AL|01|00820|Alabaster city|Incorporated Place|A|Shelby County

AL|01|00988|Albertville city|Incorporated Place|A|Marshall County

AL|01|01132|Alexander City city|Incorporated Place|A|Tallapoosa County

AL|01|01228|Aliceville city|Incorporated Place|A|Pickens County

AL|01|01396|Allgood town|Incorporated Place|A|Blount County

AL|01|01660|Altoona town|Incorporated Place|A|Blount County, Etowah County

AL|01|01708|Andalusia city|Incorporated Place|A|Covington County

AL|01|01756|Anderson town|Incorporated Place|A|Lauderdale County

AL|01|01852|Anniston city|Incorporated Place|A|Calhoun County

AL|01|02116|Arab city|Incorporated Place|A|Cullman County, Marshall County

AL|01|02260|Ardmore town|Incorporated Place|A|Limestone County

AL|01|02320|Argo town|Incorporated Place|A|Jefferson County, St. Clair County

AL|01|02428|Ariton town|Incorporated Place|A|Dale County

AL|01|02500|Arley town|Incorporated Place|A|Winston County

AL|01|02836|Ashford town|Incorporated Place|A|Houston County

AL|01|02860|Ashland town|Incorporated Place|A|Clay County

AL|01|02908|Ashville city|Incorporated Place|A|St. Clair County

AL|01|02956|Athens city|Incorporated Place|A|Limestone County

AL|01|03004|Atmore city|Incorporated Place|A|Escambia County

AL|01|03028|Attalla city|Incorporated Place|A|Etowah County

AL|01|03076|Auburn city|Incorporated Place|A|Lee County

AL|01|03220|Autaugaville town|Incorporated Place|A|Autauga County

AL|01|03364|Avon town|Incorporated Place|A|Houston County

AL|01|03556|Babbie town|Incorporated Place|A|Covington County

AL|01|03676|Baileyton town|Incorporated Place|A|Cullman County

AL|01|03724|Bakerhill town|Incorporated Place|A|Barbour County

AL|01|03940|Banks town|Incorporated Place|A|Pike County

AL|01|04660|Bay Minette city|Incorporated Place|A|Baldwin County

AL|01|04684|Bayou La Batre city|Incorporated Place|A|Mobile County

AL|01|04852|Bear Creek town|Incorporated Place|A|Marion County

AL|01|04900|Beatrice town|Incorporated Place|A|Monroe County

AL|01|04948|Beaverton town|Incorporated Place|A|Lamar County

AL|01|05164|Belk town|Incorporated Place|A|Fayette County

AL|01|05692|Benton town|Incorporated Place|A|Lowndes County

AL|01|05932|Berry town|Incorporated Place|A|Fayette County

AL|01|05980|Bessemer city|Incorporated Place|A|Jefferson County

AL|01|06460|Billingsley town|Incorporated Place|A|Autauga County

AL|01|07000|Birmingham city|Incorporated Place|A|Jefferson County, Shelby County

AL|01|07120|Black town|Incorporated Place|A|Geneva County

AL|01|07456|Blountsville town|Incorporated Place|A|Blount County

AL|01|07672|Blue Springs town|Incorporated Place|A|Barbour County

AL|01|07912|Boaz city|Incorporated Place|A|Etowah County, Marshall County

AL|01|08104|Boligee town|Incorporated Place|A|Greene County

AL|01|08248|Bon Air town|Incorporated Place|A|Talladega County

AL|01|09016|Brantley town|Incorporated Place|A|Crenshaw County

AL|01|09136|Brent city|Incorporated Place|A|Bibb County

AL|01|09208|Brewton city|Incorporated Place|A|Escambia County

AL|01|09328|Bridgeport city|Incorporated Place|A|Jackson County

AL|01|09400|Brighton city|Incorporated Place|A|Jefferson County

AL|01|09424|Brilliant town|Incorporated Place|A|Marion County

AL|01|09736|Brookside town|Incorporated Place|A|Jefferson County

AL|01|09808|Brookwood town|Incorporated Place|A|Tuscaloosa County

AL|01|10240|Brundidge city|Incorporated Place|A|Pike County

AL|01|11032|Butler town|Incorporated Place|A|Choctaw County

AL|01|11416|Calera city|Incorporated Place|A|Chilton County, Shelby County

AL|01|11512|Camden city|Incorporated Place|A|Wilcox County

AL|01|11680|Camp Hill town|Incorporated Place|A|Tallapoosa County

AL|01|12016|Carbon Hill city|Incorporated Place|A|Walker County

AL|01|12040|Cardiff town|Incorporated Place|A|Jefferson County

AL|01|12160|Carolina town|Incorporated Place|A|Covington County

AL|01|12304|Carrollton town|Incorporated Place|A|Pickens County

AL|01|12496|Castleberry town|Incorporated Place|A|Conecuh County

AL|01|12760|Cedar Bluff town|Incorporated Place|A|Cherokee County

AL|01|13264|Center Point city|Incorporated Place|A|Jefferson County

AL|01|13648|Centre city|Incorporated Place|A|Cherokee County

AL|01|13672|Centreville city|Incorporated Place|A|Bibb County

AL|01|14008|Chatom town|Incorporated Place|A|Washington County

AL|01|14104|Chelsea city|Incorporated Place|A|Shelby County

AL|01|14152|Cherokee town|Incorporated Place|A|Colbert County

AL|01|14392|Chickasaw city|Incorporated Place|A|Mobile County

AL|01|14464|Childersburg city|Incorporated Place|A|Talladega County

AL|01|15064|Citronelle city|Incorporated Place|A|Mobile County

AL|01|15136|Clanton city|Incorporated Place|A|Chilton County

AL|01|15256|Clay city|Incorporated Place|A|Jefferson County

AL|01|15304|Clayhatchee town|Incorporated Place|A|Dale County

AL|01|15376|Clayton town|Incorporated Place|A|Barbour County

AL|01|15472|Cleveland town|Incorporated Place|A|Blount County

AL|01|15640|Clio city|Incorporated Place|A|Barbour County

AL|01|16000|Coaling town|Incorporated Place|A|Tuscaloosa County

AL|01|16240|Coffee Springs town|Incorporated Place|A|Geneva County

AL|01|16264|Coffeeville town|Incorporated Place|A|Clarke County

AL|01|16312|Coker town|Incorporated Place|A|Tuscaloosa County

AL|01|16600|Collinsville town|Incorporated Place|A|Cherokee County, DeKalb County

AL|01|16684|Colony town|Incorporated Place|A|Cullman County

AL|01|16744|Columbia town|Incorporated Place|A|Houston County

AL|01|16768|Columbiana city|Incorporated Place|A|Shelby County

AL|01|17176|Coosada town|Incorporated Place|A|Elmore County

AL|01|17368|Cordova city|Incorporated Place|A|Walker County

AL|01|17824|Cottonwood town|Incorporated Place|A|Houston County

AL|01|17968|County Line town|Incorporated Place|A|Blount County, Jefferson County

AL|01|18040|Courtland town|Incorporated Place|A|Lawrence County

AL|01|18088|Cowarts town|Incorporated Place|A|Houston County

AL|01|18304|Creola city|Incorporated Place|A|Mobile County

AL|01|18856|Crossville town|Incorporated Place|A|DeKalb County

AL|01|18952|Cuba town|Incorporated Place|A|Sumter County

AL|01|18976|Cullman city|Incorporated Place|A|Cullman County

AL|01|19216|Cusseta town|Incorporated Place|A|Chambers County

AL|01|19336|Dadeville city|Incorporated Place|A|Tallapoosa County

AL|01|19360|Daleville city|Incorporated Place|A|Dale County

AL|01|19648|Daphne city|Incorporated Place|A|Baldwin County

AL|01|19744|Dauphin Island town|Incorporated Place|A|Mobile County

AL|01|19816|Daviston town|Incorporated Place|A|Tallapoosa County

AL|01|19912|Dayton town|Incorporated Place|A|Marengo County

AL|01|20008|Deatsville town|Incorporated Place|A|Elmore County

AL|01|20104|Decatur city|Incorporated Place|A|Limestone County, Morgan County

AL|01|20296|Demopolis city|Incorporated Place|A|Marengo County

AL|01|20392|Detroit town|Incorporated Place|A|Lamar County

AL|01|20955|Dodge City town|Incorporated Place|A|Cullman County

AL|01|21136|Dora city|Incorporated Place|A|Walker County

AL|01|21184|Dothan city|Incorporated Place|A|Dale County, Henry County, Houston County

AL|01|21280|Double Springs town|Incorporated Place|A|Winston County

AL|01|21328|Douglas town|Incorporated Place|A|Marshall County

AL|01|21448|Dozier town|Incorporated Place|A|Crenshaw County

AL|01|21952|Dutton town|Incorporated Place|A|Jackson County

AL|01|22216|East Brewton city|Incorporated Place|A|Escambia County

AL|01|22816|Eclectic town|Incorporated Place|A|Elmore County

AL|01|23176|Edwardsville town|Incorporated Place|A|Cleburne County

AL|01|23296|Elba city|Incorporated Place|A|Coffee County

AL|01|23320|Elberta town|Incorporated Place|A|Baldwin County

AL|01|23344|Eldridge town|Incorporated Place|A|Walker County

AL|01|23488|Elkmont town|Incorporated Place|A|Limestone County

AL|01|23656|Elmore town|Incorporated Place|A|Elmore County

AL|01|23872|Emelle town|Incorporated Place|A|Sumter County

AL|01|24184|Enterprise city|Incorporated Place|A|Coffee County, Dale County

